name,mana_cost,cmc,colors,type,supertypes,subtypes,text,power,toughness,loyalty,legalities
Grenzo's Rebuttal,{4}{R}{R},6.0,R,Sorcery,,,"Create a 4/4 red Ogre creature token. Starting with you, each player chooses an artifact, a creature, and a land from among the permanents controlled by the player to their left. Destroy each permanent chosen this way.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Vintage, legality: Legal"
Ignition Team,{5}{R}{R},7.0,R,Creature — Goblin Warrior,,"Goblin, Warrior","Ignition Team enters the battlefield with X +1/+1 counters on it, where X is the number of tapped lands on the battlefield.
{2}{R}, Remove a +1/+1 counter from Ignition Team: Target land becomes a 4/4 red Elemental creature until end of turn. It's still a land.",0,0,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Vintage, legality: Legal"
Scourge of the Throne,{4}{R}{R},6.0,R,Creature — Dragon,,Dragon,"Flying
Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)
Whenever Scourge of the Throne attacks for the first time each turn, if it's attacking the player with the most life or tied for most life, untap all attacking creatures. After this phase, there is an additional combat phase.",5,5,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Vintage, legality: Legal"
Treasonous Ogre,{3}{R},4.0,R,Creature — Ogre Shaman,,"Ogre, Shaman","Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)
Pay 3 life: Add {R}.",2,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Vintage, legality: Legal"
Predator's Howl,{3}{G},4.0,G,Instant,,,"Create a 2/2 green Wolf creature token.
Morbid — Create three 2/2 green Wolf creature tokens instead if a creature died this turn.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Vintage, legality: Legal"
Selvala's Charge,{4}{G},5.0,G,Sorcery,,,"Parley — Each player reveals the top card of their library. For each nonland card revealed this way, you create a 3/3 green Elephant creature token. Then each player draws a card.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Vintage, legality: Legal"
Selvala's Enforcer,{3}{G},4.0,G,Creature — Elf Warrior,,"Elf, Warrior","Parley — When Selvala's Enforcer enters the battlefield, each player reveals the top card of their library. For each nonland card revealed this way, put a +1/+1 counter on Selvala's Enforcer. Then each player draws a card.",2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Vintage, legality: Legal"
Dack Fayden,{1}{U}{R},3.0,"R, U",Legendary Planeswalker — Dack,Legendary,Dack,"[+1]: Target player draws two cards, then discards two cards.
[−2]: Gain control of target artifact.
[−6]: You get an emblem with ""Whenever you cast a spell that targets one or more permanents, gain control of those permanents.""",,,3.0,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Vintage, legality: Legal"
Flamewright,{R}{W},2.0,"R, W",Creature — Human Artificer,,"Human, Artificer","{1}, {T}: Create a 1/1 colorless Construct artifact creature token with defender.
{T}, Sacrifice a creature with defender: Flamewright deals 1 damage to any target.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Vintage, legality: Legal"
Marchesa's Smuggler,{U}{R},2.0,"R, U",Creature — Human Rogue,,"Human, Rogue","Dethrone (Whenever this creature attacks the player with the most life or tied for most life, put a +1/+1 counter on it.)
{1}{U}{R}: Target creature you control gains haste until end of turn and can't be blocked this turn.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Vintage, legality: Legal"
