name,mana_cost,cmc,colors,type,supertypes,subtypes,text,power,toughness,loyalty,legalities
Grappler Spider,{1}{G},2.0,G,Creature — Spider,,Spider,Reach (This creature can block creatures with flying.),2,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Harabaz Druid,{1}{G},2.0,G,Creature — Human Druid Ally,,"Human, Druid, Ally","{T}: Add X mana of any one color, where X is the number of Allies you control.",0,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Quest for Renewal,{1}{G},2.0,G,Enchantment,,,"Whenever a creature you control becomes tapped, you may put a quest counter on Quest for Renewal.
As long as there are four or more quest counters on Quest for Renewal, untap all creatures you control during each other player's untap step.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Slingbow Trap,{3}{G},4.0,G,Instant — Trap,,Trap,"If a black creature with flying is attacking, you may pay {G} rather than pay this spell's mana cost.
Destroy target attacking creature with flying.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Snapping Creeper,{2}{G},3.0,G,Creature — Plant,,Plant,"Landfall — Whenever a land enters the battlefield under your control, Snapping Creeper gains vigilance until end of turn.",2,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Summit Apes,{3}{G},4.0,G,Creature — Ape,,Ape,"As long as you control a Mountain, Summit Apes has menace. (It can't be blocked except by two or more creatures.)",5,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Vastwood Animist,{2}{G},3.0,G,Creature — Elf Shaman Ally,,"Elf, Shaman, Ally","{T}: Target land you control becomes an X/X Elemental creature until end of turn, where X is the number of Allies you control. It's still a land.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Novablast Wurm,{3}{G}{G}{W}{W},7.0,"G, W",Creature — Wurm,,Wurm,"Whenever Novablast Wurm attacks, destroy all other creatures.",7,7,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Hedron Rover,{4},4.0,,Artifact Creature — Construct,,Construct,"Landfall — Whenever a land enters the battlefield under your control, Hedron Rover gets +2/+2 until end of turn.",2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Razor Boomerang,{3},3.0,,Artifact — Equipment,,Equipment,"Equipped creature has ""{T}, Unattach Razor Boomerang: It deals 1 damage to any target. Return Razor Boomerang to its owner's hand.""
Equip {2}",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Walking Atlas,{2},2.0,,Artifact Creature — Construct,,Construct,{T}: You may put a land card from your hand onto the battlefield.,1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Blinding Radiance,{2}{W},3.0,W,Sorcery,,,Tap all creatures your opponents control with toughness 2 or less.,,,,
Titanic Pelagosaur,{3}{U}{U},5.0,U,Creature — Dinosaur,,Dinosaur,,4,6,,
Goblin Bruiser,{1}{R}{R},3.0,R,Creature — Goblin Warrior,,"Goblin, Warrior",,3,3,,
Ogre Painbringer,{3}{R}{R},5.0,R,Creature — Ogre,,Ogre,"When Ogre Painbringer enters the battlefield, it deals 3 damage to each player.",7,3,,
Bellowing Aegisaur,{5}{W},6.0,W,Creature — Dinosaur,,Dinosaur,"Enrage — Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control.",3,5,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Bishop's Soldier,{1}{W},2.0,W,Creature — Vampire Soldier,,"Vampire, Soldier",Lifelink,2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Duskborne Skymarcher,{W},1.0,W,Creature — Vampire Cleric,,"Vampire, Cleric","Flying
{W}, {T}: Target attacking Vampire gets +1/+1 until end of turn.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Glorifier of Dusk,{3}{W}{W},5.0,W,Creature — Vampire Soldier,,"Vampire, Soldier","Pay 2 life: Glorifier of Dusk gains flying until end of turn.
Pay 2 life: Glorifier of Dusk gains vigilance until end of turn.",4,4,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Imperial Lancer,{W},1.0,W,Creature — Human Knight,,"Human, Knight",Imperial Lancer has double strike as long as you control a Dinosaur.,1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Kinjalli's Caller,{W},1.0,W,Creature — Human Cleric,,"Human, Cleric",Dinosaur spells you cast cost {1} less to cast.,0,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Pious Interdiction,{3}{W},4.0,W,Enchantment — Aura,,Aura,"Enchant creature
When Pious Interdiction enters the battlefield, you gain 2 life.
Enchanted creature can't attack or block.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
Pterodon Knight,{3}{W},4.0,W,Creature — Human Knight,,"Human, Knight",Pterodon Knight has flying as long as you control a Dinosaur.,3,3,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Explorer, legality: Legal, format: Gladiator, legality: Legal, format: Historic, legality: Legal, format: Historicbrawl, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Pioneer, legality: Legal, format: Vintage, legality: Legal"
