name,mana_cost,cmc,colors,type,supertypes,subtypes,text,power,toughness,loyalty,legalities
Kathari Remnant,{2}{U}{B},4.0,"B, U",Creature — Bird Skeleton,,"Bird, Skeleton","Flying
{B}: Regenerate Kathari Remnant.
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)",0,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Lich Lord of Unx,{1}{U}{B},3.0,"B, U",Creature — Zombie Wizard,,"Zombie, Wizard","{U}{B}, {T}: Create a 1/1 blue and black Zombie Wizard creature token.
{U}{U}{B}{B}: Target player loses X life and mills X cards, where X is the number of Zombies you control.",2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Mask of Riddles,{U}{B},2.0,"B, U",Artifact — Equipment,,Equipment,"Equipped creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
Whenever equipped creature deals combat damage to a player, you may draw a card.
Equip {2}",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Mind Funeral,{1}{U}{B},3.0,"B, U",Sorcery,,,Target opponent reveals cards from the top of their library until four land cards are revealed. That player puts all cards revealed this way into their graveyard.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Mistvein Borderpost,{1}{U}{B},3.0,"B, U",Artifact,,,"You may pay {1} and return a basic land you control to its owner's hand rather than pay this spell's mana cost.
Mistvein Borderpost enters the battlefield tapped.
{T}: Add {U} or {B}.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Nemesis of Reason,{3}{U}{B},5.0,"B, U",Creature — Leviathan Horror,,"Leviathan, Horror","Whenever Nemesis of Reason attacks, defending player mills ten cards.",3,7,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Soul Manipulation,{1}{U}{B},3.0,"B, U",Instant,,,"Choose one or both —
• Counter target creature spell.
• Return target creature card from your graveyard to your hand.",,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Soulquake,{3}{U}{U}{B}{B},7.0,"B, U",Sorcery,,,Return all creatures on the battlefield and all creature cards in graveyards to their owners' hands.,,,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Vedalken Ghoul,{U}{B},2.0,"B, U",Creature — Vedalken Zombie,,"Vedalken, Zombie","Whenever Vedalken Ghoul becomes blocked, defending player loses 4 life.",1,1,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Pauper, legality: Legal, format: Paupercommander, legality: Legal, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
Anathemancer,{1}{B}{R},3.0,"B, R",Creature — Zombie Wizard,,"Zombie, Wizard","When Anathemancer enters the battlefield, it deals damage to target player equal to the number of nonbasic lands that player controls.
Unearth {5}{B}{R} ({5}{B}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)",2,2,,"format: Commander, legality: Legal, format: Duel, legality: Legal, format: Legacy, legality: Legal, format: Modern, legality: Legal, format: Oathbreaker, legality: Legal, format: Paupercommander, legality: Restricted, format: Penny, legality: Legal, format: Predh, legality: Legal, format: Vintage, legality: Legal"
